Name,"# Educational Attainment | High school graduate (includes equivalency), 2020 [Estimated]","# Employment Status | In labor force, 2020 [Estimated]","# Total Population, 2020 [Estimated]","# Vehicles Available | No vehicle available, 2020 [Estimated]","# Vehicles Available | Occupied housing units, 2020 [Estimated]","% Educational Attainment | High school graduate (includes equivalency), 2020 [Estimated]","% Employment Status | In labor force, 2020 [Estimated]","% Poverty Status by Age | In Poverty, 2020 [Estimated]","% Purchasing: By Internet: In last 12 months: Food (Groceries), 2020","% Purchasing: Catalog And Internet, Phone & Mail Shopping - Amount Spent In Total: $800+, 2020","% Purchasing: Catalog And Internet, Phone & Mail Shopping - Amount Spent In Total: Less than $50, 2020","% Sadness - Some of the time, 2020","% Sadness- All or most of the time, 2020","% Transportation to Work |  Public transportation, 2020 [Estimated]","% Transportation to Work | Car, truck, or van, 2020 [Estimated]","% Transportation to Work | Worked at home, 2020 [Estimated]","% Vehicles Available | No vehicle available, 2020 [Estimated]","Average annual expenditures (Household average), 2020",FIPS,"Food | Food at home (Household average), 2020","Food | Food away from home (Household average), 2020","Housing | Utilities, fuels, and public services (Household average), 2020","Median Household Income, 2020 [Estimated]","Population Density (per square mile), 2020 [Estimated]","Transportation | Gasoline, other fuels, and motor oil (Household average), 2020"
"CT000100, Allegany County, MD",1378,1646,3666,94,1546,52.6758,49.8571,16.8328,11.6655,24.5583,2.6433,8.8204,3.0991,0,91.928,6.3376,6.0802,61108.1095,24001000100,5333.7744,3919.1339,4711.9921,48234.59471,19.5065,2324.6618
"CT000100, Garrett County, MD",951,1960,3581,114,1636,34.6322,64.1806,4.5212,11.5734,24.2351,2.6866,8.9375,3.1643,0.8994,91.1186,6.914,6.9682,62240.256,24023000100,5264.18,4128.0555,4760.7806,53573.6925,33.987,2454.0744
"CT000100, Washington County, MD",712,1776,3388,121,1425,32.0144,61.8225,14.1145,12.4717,26.3456,2.5567,8.1129,2.6895,3.2595,82.2034,9.0613,8.4912,65316.6181,24043000100,5777.1662,4169.3782,4767.1678,57537.34178,4743.5036,2557.8253
"CT000100, Wicomico County, MD",1264,3043,6129,354,2107,31.9838,67.6143,26.536,11.6222,23.0712,2.8437,9.4009,3.4986,0,87.6772,0.3272,16.8011,54470.2459,24045000100,4812.1553,3399.1286,4041.5119,39541.16799,5037.2306,2005.4539
"CT000200, Allegany County, MD",1245,1203,3834,16,1090,39.4612,34.5707,5.8256,11.8277,24.9436,2.6329,8.7111,3.0811,0,91.4186,0.3503,1.4679,40714.9761,24001000200,3428.5975,2410.5729,3032.3204,57592.95343,79.7538,1581.5808
"CT000200, Garrett County, MD",1204,2070,4264,61,1575,41.8201,61.1298,12.7437,11.8009,24.7664,2.6473,8.6612,3.0185,0,86.0927,10.1375,3.873,59066.2814,24023000200,5040.1662,3974.3379,4394.2614,54087.38008,53.1014,2203.7099
"CT000200, Washington County, MD",938,2266,3822,45,1679,32.7171,70.9808,11.7664,12.2253,25.6446,2.5897,8.207,2.7651,1.8747,93.3399,3.8974,2.6802,66776.5617,24043000200,5520.4792,4290.8552,4876.0327,66423.0025,3353.5141,2420.3236
"CT000200, Wicomico County, MD",231,852,1666,101,758,17.2131,61.0656,15.4372,11.6271,23.5036,2.8029,9.1266,3.2846,5.4242,85.6745,8.6231,13.3245,62206.0638,24045000200,5565.5704,4069.7672,4531.3294,61866.90037,2707.5783,2214.1439
"CT000300, Allegany County, MD",672,1290,2748,92,1057,35.7257,63.1604,14.7494,11.2821,23.0128,2.8022,9.4042,3.4075,0,87.0588,4.7964,8.7039,54385.7263,24001000300,4821.423,3630.0707,4247.74,48213.76853,318.0784,2059.8089
"CT000300, Garrett County, MD",860,1528,2791,14,1077,44.3756,69.2009,8.9564,11.9682,25.2485,2.5845,8.5772,2.9785,0,89.4282,0.6649,1.2999,60220.4373,24023000300,5448.169,3862.1373,4643.7464,70504.84394,22.1194,2330.3727
